Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
MSigDB_Hallmark_2020	Cholesterol Homeostasis	10/74	1.665050e-11	7.159713e-10	0	0	2.894130e+01	7.182819e+02	FADS2;IDI1;FDPS;SCD;FASN;ANXA5;MAL2;MVD;LDLR;FDFT1
MSigDB_Hallmark_2020	Androgen Response	9/100	7.158223e-09	1.539018e-07	0	0	1.812454e+01	3.399259e+02	IDI1;KRT19;XRCC5;SCD;INSIG1;PMEPA1;DBI;ACSL3;FADS1
MSigDB_Hallmark_2020	Estrogen Response Early	10/200	2.814201e-07	3.025267e-06	0	0	9.686670e+00	1.461081e+02	CALB2;KRT19;MLPH;KRT18;FASN;KRT13;SFN;CD44;TGM2;FDFT1
MSigDB_Hallmark_2020	mTORC1 Signaling	10/200	2.814201e-07	3.025267e-06	0	0	9.686670e+00	1.461081e+02	FADS2;IDI1;LDHA;SCD;INSIG1;ENO1;ACSL3;ALDOA;LDLR;FADS1
MSigDB_Hallmark_2020	Glycolysis	9/200	2.718457e-06	2.337873e-05	0	0	8.591623e+00	1.101055e+02	LDHA;NT5E;HDLBP;CDK1;ENO1;HMMR;TXN;ALDOA;CD44
MSigDB_Hallmark_2020	G2-M Checkpoint	8/200	2.335691e-05	1.255434e-04	0	0	7.527141e+00	8.027408e+01	TOP2A;UBE2C;HMGA1;CDK1;HMMR;MKI67;KIF20B;SMC4
MSigDB_Hallmark_2020	Estrogen Response Late	8/200	2.335691e-05	1.255434e-04	0	0	7.527141e+00	8.027408e+01	TOP2A;KRT19;AGR2;KRT13;SFN;EMP2;CD44;FDFT1
MSigDB_Hallmark_2020	E2F Targets	8/200	2.335691e-05	1.255434e-04	0	0	7.527141e+00	8.027408e+01	TOP2A;NOP56;HMGA1;CDK1;HMGB2;HMMR;MKI67;SMC4
MSigDB_Hallmark_2020	Apoptosis	7/161	4.541103e-05	2.169638e-04	0	0	8.152479e+00	8.152280e+01	TOP2A;ANXA1;KRT18;LMNA;HMGB2;EMP1;CD44
MSigDB_Hallmark_2020	Hypoxia	7/200	1.764985e-04	6.899486e-04	0	0	6.492228e+00	5.610712e+01	PRDX5;LDHA;HDLBP;S100A4;ENO1;ALDOA;TGM2
