Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
MSigDB_Hallmark_2020,Epithelial Mesenchymal Transition,18/200,1.7549167688343093e-12,7.370650429104099e-11,0,0,10.660669001328342,288.5693815744541,SPARC;TPM4;GADD45A;IGFBP3;SERPINE1;TPM1;WNT5A;FN1;FBLN1;INHBA;LAMC1;FSTL1;CALD1;GPC1;SERPINH1;SPP1;MYL9;MATN2
MSigDB_Hallmark_2020,mTORC1 Signaling,10/200,3.4600949670423796e-05,0.0007266199430788998,0,0,5.43213296398892,55.79685681599258,SLC7A5;EGLN3;IGFBP5;PSAT1;TXNRD1;SERPINH1;PHGDH;NUPR1;SQSTM1;PPIA
MSigDB_Hallmark_2020,UV Response Dn,8/144,0.00010244439134170952,0.0013321850374148,0,0,6.0245098039215685,55.342294306830645,FZD2;IGFBP5;CITED2;SERPINE1;LAMC1;NR3C1;RND3;MET
MSigDB_Hallmark_2020,Reactive Oxygen Species Pathway,5/49,0.0001268747654680824,0.0013321850374148,0,0,11.512820512820513,103.29659526813114,PDLIM1;NQO1;TXNRD1;PRDX6;FTL
MSigDB_Hallmark_2020,Estrogen Response Early,9/200,0.0001900166822654637,0.0015961401310298,0,0,4.837614100490667,41.45060631295679,UGCG;SLC7A5;SLC16A1;OPN3;WWC1;RHOBTB3;INHBB;TPD52L1;PRSS23
MSigDB_Hallmark_2020,TNF-alpha Signaling via NF-kB,8/200,0.0009340556104345936,0.0049037919547816,0,0,4.255208333333333,29.684225172013964,MARCKS;GADD45A;PLK2;SERPINE1;OLR1;ACKR3;INHBA;SQSTM1
MSigDB_Hallmark_2020,Glycolysis,8/200,0.0009340556104345936,0.0049037919547816,0,0,4.255208333333333,29.684225172013964,PRPS1;EGLN3;CITED2;GPC1;IGFBP3;MIF;PPIA;MET
MSigDB_Hallmark_2020,p53 Pathway,8/200,0.0009340556104345936,0.0049037919547816,0,0,4.255208333333333,29.684225172013964,KRT17;GADD45A;PLK2;INHBB;SLC3A2;NUPR1;TPD52L1;PTPN14
MSigDB_Hallmark_2020,TGF-beta Signaling,4/54,0.0020765932331265,0.0096907684212572,0,0,8.061224489795919,49.79439807569174,SERPINE1;ID3;SKIL;SPTBN1
MSigDB_Hallmark_2020,Coagulation,6/138,0.0026750949906243,0.0112353989606222,0,0,4.608247422680412,27.298199626511767,SPARC;SERPINE1;FN1;OLR1;GNG12;PRSS23
MSigDB_Hallmark_2020,Hypoxia,7/200,0.0040674004021623,0.0142359014075682,0,0,3.684635829149776,20.28300352206346,CITED2;GPC1;IGFBP3;SERPINE1;ACKR3;MIF;NR3C1
MSigDB_Hallmark_2020,Xenobiotic Metabolism,7/200,0.0040674004021623,0.0142359014075682,0,0,3.684635829149776,20.28300352206346,GSTM4;NQO1;GABARAPL1;TGFB2;SERPINE1;FBLN1;PTGR1
MSigDB_Hallmark_2020,Angiogenesis,3/36,0.0055172885597211,0.0178250861160223,0,0,9.121827411167512,47.43230522818489,SPP1;OLR1;FSTL1
MSigDB_Hallmark_2020,Estrogen Response Late,6/200,0.0154939907818328,0.0433831741891318,0,0,3.1256244021681368,13.025424015927582,SLC7A5;SLC16A1;OPN3;TPD52L1;PRSS23;JAK1
MSigDB_Hallmark_2020,Inflammatory Response,6/200,0.0154939907818328,0.0433831741891318,0,0,3.1256244021681368,13.025424015927582,SERPINE1;OLR1;INHBA;MET;CD55;BEST1
MSigDB_Hallmark_2020,Apoptosis,5/161,0.0230375964778169,0.0604736907542696,0,0,3.2287968441814594,12.17459103833824,TGFB2;GADD45A;TIMP2;NEDD9;SQSTM1
MSigDB_Hallmark_2020,Mitotic Spindle,5/199,0.0499602474440714,0.1123919966188406,0,0,2.591329632566746,7.764990870652189,MARCKS;PALLD;NEDD9;MID1;SPTBN1
MSigDB_Hallmark_2020,Myogenesis,5/200,0.0508439984704279,0.1123919966188406,0,0,2.5779092702169626,7.679574154313181,NQO1;SPARC;IGFBP3;IGFBP7;TPD52L1
MSigDB_Hallmark_2020,Complement,5/200,0.0508439984704279,0.1123919966188406,0,0,2.5779092702169626,7.679574154313181,SERPINE1;FN1;TIMP2;OLR1;CD55
MSigDB_Hallmark_2020,Apical Surface,2/44,0.0716056114889121,0.1503717841267156,0,0,4.7518037518037515,12.52851945708889,GSTM3;MAL
MSigDB_Hallmark_2020,Apical Junction,4/200,0.1410458258534753,0.2692693039020892,0,0,2.0412328196584757,3.9981023755392977,LIMA1;ZYX;MYL9;ACTB
MSigDB_Hallmark_2020,KRAS Signaling Up,4/200,0.1410458258534753,0.2692693039020892,0,0,2.0412328196584757,3.9981023755392977,ALDH1A3;IGFBP3;SPP1;INHBA
MSigDB_Hallmark_2020,Fatty Acid Metabolism,3/158,0.2104964360637212,0.3843847962902735,0,0,1.930080235794989,3.007618085016947,GABARAPL1;MIF;PRDX6
MSigDB_Hallmark_2020,Protein Secretion,2/96,0.2494067909928498,0.4364618842374871,0,0,2.117558564367075,2.9405900871231445,CAV2;GNAS
MSigDB_Hallmark_2020,Androgen Response,2/100,0.2642273190435063,0.4439018959930906,0,0,2.0307153164296023,2.702771390555414,ALDH1A3;UBE2J1
MSigDB_Hallmark_2020,Notch Signaling,1/32,0.2752009537742224,0.4445553868660515,0,0,3.204571243313341,4.1347099266061775,WNT5A
MSigDB_Hallmark_2020,Bile Acid Metabolism,2/112,0.3086170575351828,0.4682340794674867,0,0,1.808080808080808,2.1256775548508937,GSTK1;DIO2
MSigDB_Hallmark_2020,Unfolded Protein Response,2/113,0.3122988478346994,0.4682340794674867,0,0,1.7917007917007917,2.0851718925161022,SLC7A5;PSAT1
MSigDB_Hallmark_2020,Allograft Rejection,3/200,0.3233044834418361,0.4682340794674867,0,0,1.5153443788811871,1.711067359910169,TGFB2;INHBB;INHBA
MSigDB_Hallmark_2020,UV Response Up,2/158,0.470271536490919,0.6583801510872865,0,0,1.271950271950272,0.9596165405879008,SQSTM1;GLS
MSigDB_Hallmark_2020,IL-6/JAK/STAT3 Signaling,1/87,0.5836679914950987,0.7160478903768706,0,0,1.1519224027112305,0.6202214761277236,STAT3
MSigDB_Hallmark_2020,IL-2/STAT5 Signaling,2/199,0.5939725563145565,0.7160478903768706,0,0,1.005127416294929,0.523593146960198,GABARAPL1;SPP1
MSigDB_Hallmark_2020,G2-M Checkpoint,2/200,0.5967065753140588,0.7160478903768706,0,0,1.0,0.516329785050999,SLC7A5;MARCKS
MSigDB_Hallmark_2020,Myc Targets V1,2/200,0.5967065753140588,0.7160478903768706,0,0,1.0,0.516329785050999,HDDC2;PPIA
MSigDB_Hallmark_2020,KRAS Signaling Dn,2/200,0.5967065753140588,0.7160478903768706,0,0,1.0,0.516329785050999,TGFB2;SKIL
MSigDB_Hallmark_2020,Pperoxisome,1/104,0.6493430720264805,0.7410933570396654,0,0,0.9609698980338586,0.4149411183845573,GSTK1
MSigDB_Hallmark_2020,PI3K/AKT/mTOR  Signaling,1/105,0.6528679573920863,0.7410933570396654,0,0,0.9516814843448008,0.4057783123183748,SQSTM1
MSigDB_Hallmark_2020,Spermatogenesis,1/135,0.743693243928707,0.8219767432896236,0,0,0.7374934373359334,0.2183914504625392,GSTM3
MSigDB_Hallmark_2020,Adipogenesis,1/200,0.8673678080217752,0.8673678080217752,0,0,0.49496224842807,0.0704292481681379,GADD45A
MSigDB_Hallmark_2020,Interferon Gamma Response,1/200,0.8673678080217752,0.8673678080217752,0,0,0.49496224842807,0.0704292481681379,STAT3
MSigDB_Hallmark_2020,E2F Targets,1/200,0.8673678080217752,0.8673678080217752,0,0,0.49496224842807,0.0704292481681379,PRPS1
MSigDB_Hallmark_2020,heme Metabolism,1/200,0.8673678080217752,0.8673678080217752,0,0,0.49496224842807,0.0704292481681379,NR3C1
GO_Biological_Process_2021,cellular protein metabolic process (GO:0044267),17/417,1.078450677283346e-06,0.0016306174240524,0,0,4.505464480874317,61.90501485770106,RPL41;RPL3;RPS7;IGFBP5;RPL23;IGFBP3;FN1;RPL13A;RPSA;LAMB1;LAMC1;PRSS23;FSTL1;RPS27;RPL18A;SPP1;IGFBP7
GO_Biological_Process_2021,SRP-dependent cotranslational protein targeting to membrane (GO:0006614),8/90,3.3412235252763856e-06,0.0017529041975687,0,0,10.019308943089433,126.3352047446156,RPL41;RPL3;RPS27;RPL18A;RPS7;RPL23;RPL13A;RPSA
GO_Biological_Process_2021,cytoplasmic translation (GO:0002181),8/93,4.278954395321748e-06,0.0017529041975687,0,0,9.66421568627451,119.46711962361115,RPL41;RPL3;RPS27;RPL18A;RPS7;RPL23;RPL13A;RPSA
GO_Biological_Process_2021,cotranslational protein targeting to membrane (GO:0006613),8/94,4.63731269198069e-06,0.0017529041975687,0,0,9.551356589147288,117.30379700358112,RPL41;RPL3;RPS27;RPL18A;RPS7;RPL23;RPL13A;RPSA
GO_Biological_Process_2021,negative regulation of smooth muscle cell migration (GO:0014912),4/14,8.98018633910456e-06,0.0023118640192644,0,0,40.38775510204081,469.3255012731259,IGFBP5;IGFBP3;SERPINE1;TPM1
GO_Biological_Process_2021,protein targeting to ER (GO:0045047),8/103,9.174063568509738e-06,0.0023118640192644,0,0,8.642543859649123,100.24599176911534,RPL41;RPL3;RPS27;RPL18A;RPS7;RPL23;RPL13A;RPSA
GO_Biological_Process_2021,"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)",8/113,1.813369095782255e-05,0.0036547038508149,0,0,7.815476190476191,85.32732898188942,RPL41;RPL3;RPS27;RPL18A;RPS7;RPL23;RPL13A;RPSA
GO_Biological_Process_2021,negative regulation of cell motility (GO:2000146),8/114,1.9337057411719328e-05,0.0036547038508149,0,0,7.741352201257862,84.02066725844563,IGFBP5;CITED2;SERPINE1;TPM1;TACSTD2;CYP1B1;FBLN1;MIF
GO_Biological_Process_2021,platelet aggregation (GO:0070527),5/36,2.7868095991564833e-05,0.0046818401265828,0,0,16.351530190239867,171.49530707153963,FN1;GNAS;MYL9;PPIA;ACTB
GO_Biological_Process_2021,homotypic cell-cell adhesion (GO:0034109),5/44,7.524121289207404e-05,0.0113764713892815,0,0,12.992110453648916,123.35763887867834,FN1;GNAS;MYL9;PPIA;ACTB
GO_Biological_Process_2021,negative regulation of cell migration (GO:0030336),8/144,0.00010244439134170952,0.0140814472462422,0,0,6.0245098039215685,55.342294306830645,IGFBP5;CITED2;IGFBP3;SERPINE1;TPM1;TACSTD2;CYP1B1;MIF
GO_Biological_Process_2021,peptide biosynthetic process (GO:0043043),8/162,0.0002307444574835679,0.0290738016429295,0,0,5.315476190476191,44.51285914325752,RPL41;RPL3;RPS27;RPL18A;RPS7;RPL23;RPL13A;RPSA
GO_Biological_Process_2021,platelet degranulation (GO:0002576),7/125,0.00026537848498707224,0.0295840872825383,0,0,6.049617985421972,49.81469306650155,TGFB2;SPARC;TMSB4X;SERPINE1;FN1;PHACTR2;MAGED2
GO_Biological_Process_2021,cellular component assembly (GO:0022607),10/261,0.00030960346129107943,0.0295840872825383,0,0,4.099182218494443,33.122286916330225,VMP1;LIMA1;CALD1;WNT5A;PAWR;NEDD9;LAMC1;TEAD1;ACTB;SPTBN1
GO_Biological_Process_2021,actin filament bundle assembly (GO:0051017),4/33,0.000316376872754873,0.0295840872825383,0,0,13.913441238564392,112.12252948199962,LIMA1;CALD1;NEDD9;PAWR
GO_Biological_Process_2021,actin filament bundle organization (GO:0061572),4/33,0.000316376872754873,0.0295840872825383,0,0,13.913441238564392,112.12252948199962,LIMA1;CALD1;NEDD9;PAWR
