Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
MSigDB_Hallmark_2020,Epithelial Mesenchymal Transition,9/200,7.246130877532363e-07,2.8259910422376216e-05,0,0,10.205454231632242,144.28091546324455,ITGB1;LGALS1;TPM4;DST;CALD1;IGFBP3;SERPINE1;TPM1;FSTL1
MSigDB_Hallmark_2020,Mitotic Spindle,7/199,6.366348757152782e-05,0.0012414380076447,0,0,7.726030465949821,74.6481287622583,DYNC1H1;MARCKS;DST;PALLD;MYH9;ACTN4;SPTBN1
MSigDB_Hallmark_2020,Reactive Oxygen Species Pathway,4/49,0.00010488236734037026,0.0013634707754248,0,0,18.38425925925926,168.44892187136222,PDLIM1;NQO1;TXNRD1;GCLM
MSigDB_Hallmark_2020,Androgen Response,5/100,0.0001460736125883001,0.0014242177227359,0,0,10.97229916897507,96.9007614271628,ALDH1A3;KRT19;KRT8;B2M;MYL12A
MSigDB_Hallmark_2020,Xenobiotic Metabolism,6/200,0.0005070298275322483,0.0039548326547515,0,0,6.483658697082694,49.19113421381613,ALDH3A1;NQO1;SERPINE1;TMBIM6;SPINT2;PTGR1
MSigDB_Hallmark_2020,Hypoxia,5/200,0.0033238214487381,0.0185184337858268,0,0,5.318488529014845,30.350700013257832,ANXA2;IGFBP3;SERPINE1;MYH9;F3
MSigDB_Hallmark_2020,Apical Junction,5/200,0.0033238214487381,0.0185184337858268,0,0,5.318488529014845,30.350700013257832,ITGB1;LIMA1;MYH9;ACTN4;ACTB
MSigDB_Hallmark_2020,Coagulation,4/138,0.0051031409432025,0.0248778120981125,0,0,6.1461442786069655,32.43872909597336,SERPINE1;RAC1;PRSS23;F3
MSigDB_Hallmark_2020,PI3K/AKT/mTOR  Signaling,3/105,0.0157404409875109,0.058738296924005,0,0,6.003032140691328,24.921720115184357,CALR;RAC1;SQSTM1
MSigDB_Hallmark_2020,TNF-alpha Signaling via NF-kB,4/200,0.0180733221304631,0.058738296924005,0,0,4.188775510204081,16.81088959163861,MARCKS;SERPINE1;SQSTM1;F3
MSigDB_Hallmark_2020,Myogenesis,4/200,0.0180733221304631,0.058738296924005,0,0,4.188775510204081,16.81088959163861,ITGB1;NQO1;IGFBP3;MYH9
MSigDB_Hallmark_2020,mTORC1 Signaling,4/200,0.0180733221304631,0.058738296924005,0,0,4.188775510204081,16.81088959163861,TXNRD1;CANX;CALR;SQSTM1
MSigDB_Hallmark_2020,TGF-beta Signaling,2/54,0.029925836282038,0.089777508846114,0,0,7.789638932496075,27.334100710931292,SERPINE1;SPTBN1
MSigDB_Hallmark_2020,UV Response Dn,3/144,0.0356325626734509,0.0992621388760419,0,0,4.334064487826278,14.451917999802893,ANXA2;SERPINE1;F3
MSigDB_Hallmark_2020,Apoptosis,3/161,0.0470094529637458,0.1222245777057392,0,0,3.864413415111575,11.815082966904622,LGALS3;HSPB1;SQSTM1
MSigDB_Hallmark_2020,Estrogen Response Early,3/200,0.0789086435328542,0.1619703735674376,0,0,3.0932544874143075,7.855209980826792,KRT19;KRT8;PRSS23
MSigDB_Hallmark_2020,Complement,3/200,0.0789086435328542,0.1619703735674376,0,0,3.0932544874143075,7.855209980826792,LGALS3;SERPINE1;F3
MSigDB_Hallmark_2020,Myc Targets V1,3/200,0.0789086435328542,0.1619703735674376,0,0,3.0932544874143075,7.855209980826792,RPL34;CANX;RPL6
MSigDB_Hallmark_2020,p53 Pathway,3/200,0.0789086435328542,0.1619703735674376,0,0,3.0932544874143075,7.855209980826792,KRT17;SLC3A2;ZFP36L1
MSigDB_Hallmark_2020,Protein Secretion,2/96,0.0834353800745875,0.1626989911454457,0,0,4.300043421623969,10.679944049183517,DST;CAV2
MSigDB_Hallmark_2020,Unfolded Protein Response,2/113,0.109762052329387,0.2038438114688616,0,0,3.6383526383526386,8.038723369904124,CALR;EEF2
MSigDB_Hallmark_2020,Hedgehog Signaling,1/36,0.165238740567014,0.2801874296571107,0,0,5.733044733044733,10.321566994169176,MYH9
MSigDB_Hallmark_2020,Angiogenesis,1/36,0.165238740567014,0.2801874296571107,0,0,5.733044733044733,10.321566994169176,FSTL1
MSigDB_Hallmark_2020,Fatty Acid Metabolism,2/158,0.1871181588639223,0.2919043278277188,0,0,2.5829408686551543,4.329047629874819,ALDH3A1;LGALS1
MSigDB_Hallmark_2020,UV Response Up,2/158,0.1871181588639223,0.2919043278277188,0,0,2.5829408686551543,4.329047629874819,TMBIM6;SQSTM1
MSigDB_Hallmark_2020,Apical Surface,1/44,0.1981144149654997,0.2971716224482497,0,0,4.664552501761804,7.551493311263548,HSPB1
MSigDB_Hallmark_2020,Estrogen Response Late,2/200,0.2642273190435063,0.3553401876791981,0,0,2.0307153164296023,2.702771390555414,KRT19;PRSS23
MSigDB_Hallmark_2020,Inflammatory Response,2/200,0.2642273190435063,0.3553401876791981,0,0,2.0307153164296023,2.702771390555414,SERPINE1;F3
MSigDB_Hallmark_2020,KRAS Signaling Up,2/200,0.2642273190435063,0.3553401876791981,0,0,2.0307153164296023,2.702771390555414,ALDH1A3;IGFBP3
