names,scores,logfoldchanges,pvals,pvals_adj
H2AFZ,20.510715,2.4222407,1.7273613196916182e-93,3.8288691012284406e-89
UBE2S,19.979656,3.3492153,8.27911828731526e-89,9.175746797831504e-85
HMGB1,18.943527,2.114849,4.993704297273694e-80,3.689681648445623e-76
PTTG1,18.21285,6.248751,4.081354737662145e-74,2.2616827278754774e-70
H2AFV,17.629398,2.2365847,1.4651726883166272e-69,4.932141099713246e-66
CKS1B,17.62594,3.320981,1.557565086077448e-69,4.932141099713246e-66
CENPW,17.437849,3.3485277,4.258027870653932e-68,1.1797930722614382e-64
SNRPB,16.928377,1.6076713,2.7794149270232348e-64,6.845390141377446e-61
CDKN3,16.363892,5.5643654,3.4627784671609366e-60,7.675594750308932e-57
RAN,16.198748,1.4067132,5.146468330698321e-59,1.0370601547114454e-55
TUBA1B,15.995252,2.0040147,1.378994083958303e-57,2.3512909896169033e-54
YBX1,15.9849825,1.1118226,1.6261178107776514e-57,2.574609099549816e-54
PTMA,15.763674,0.91493815,5.532164172463098e-56,8.1750634031211355e-53
HIST1H4C,15.757806,2.9834743,6.07045313066456e-56,8.409854005894415e-53
RANBP1,15.619068,2.0355937,5.398895760082464e-55,7.039524906940465e-52
DEK,15.588994,2.2364955,8.6484311392509e-55,1.0650062479590857e-51
DTYMK,15.581659,2.825079,9.700370573730192e-55,1.1316758638805444e-51
MT2A,15.341384,2.7872813,4.0448066329065966e-53,4.482859191250381e-50
TPI1,15.315921,1.1542621,5.98583971809838e-53,6.318196342446128e-50
MYBL2,14.933345,6.119888,1.9997844175459492e-50,1.8469675583051462e-47
LSM4,14.907253,1.3239216,2.9566920056202415e-50,2.6215213998631314e-47
UBE2C,14.856431,3.7972617,6.320341910138618e-50,5.388334568466639e-47
HNRNPA2B1,14.817451,1.572739,1.1299180443415084e-49,9.276208655879213e-47
PTMS,14.785386,1.7153327,1.8201065126586346e-49,1.4408743199854035e-46
LSM5,14.593312,1.5981824,3.097844067598604e-48,2.3678210897376087e-45
TOMM40,14.566906,2.2044134,4.560838109077607e-48,3.261146371800459e-45
MT-CYB,14.535994,1.0458091,7.166562661310917e-48,4.9641883734568055e-45
CKS2,14.461491,2.467839,2.121525512577041e-47,1.4250222579328087e-44
CDC20,14.429007,5.418023,3.3994044384794257e-47,2.2162117289216163e-44
NUCKS1,14.426597,1.642696,3.520271255478087e-47,2.2294380756836365e-44
