names,scores,logfoldchanges,pvals,pvals_adj
PIFO,14.612401,3.948442,2.3411978717261362e-48,6.806330452682224e-44
AGR2,14.323249,2.677372,1.5662664523294522e-46,2.2767249151060918e-42
C20orf85,13.943516,6.205764,3.4454072562101473e-44,3.3388293250847135e-40
C5orf49,13.820387,5.3980455,1.9203600588945387e-43,1.3957176908045508e-39
AGR3,13.803229,4.037882,2.4368750607276425e-43,1.4168966353094804e-39
RSPH1,13.743936,5.1266627,5.5381795938665096e-43,2.683432619214786e-39
CETN2,13.641243,3.527908,2.276457782445991e-42,9.454454378752836e-39
C1orf194,13.524296,6.0223727,1.1241505518145361e-41,4.0851631052940244e-38
PLTP,13.459451,4.5871305,2.7092173323647467e-41,8.751374031834213e-38
METRN,13.15579,3.4440572,1.576256974784391e-39,4.582494277093181e-36
CAPS,12.877488,4.95112,6.026513965647864e-38,1.5927528546301337e-34
CFAP126,12.861214,6.2278104,7.439902555328077e-38,1.8024403924041489e-34
TUBA1A,12.690523,3.255189,6.67383606544478e-37,1.4924750930354665e-33
MORN2,12.667689,3.2202837,8.930695747862348e-37,1.85452276272753e-33
TPPP3,12.55112,4.491048,3.919284156948565e-36,7.596095267387245e-33
TUBB4B,12.507974,3.3295174,6.752457590356235e-36,1.226921544167728e-32
CFAP45,12.390774,5.05876,2.93199795839934e-35,5.014061449799154e-32
WDR38,12.268401,6.031405,1.3387000585443966e-34,2.16214933900015e-31
CAPSL,12.226518,6.759197,2.2435273195963346e-34,3.4328329597528757e-31
LRRC23,12.207847,3.6177144,2.8226266348220914e-34,4.102970076377392e-31
PRR29,12.151328,4.878663,5.644143207672006e-34,7.8136443492114555e-31
CFAP157,12.123952,4.4445167,7.886287031112838e-34,1.0421369844023292e-30
C12orf75,11.9684,2.9481063,5.202216696185611e-33,6.575601903978613e-30
C9orf116,11.786608,4.527354,4.576049148548474e-32,5.543120868608385e-29
FAM81B,11.699433,4.48638,1.283079757431174e-31,1.4475341533323229e-28
FAM183A,11.698676,5.7452188,1.2945751233709547e-31,1.4475341533323229e-28
ANXA1,11.691359,4.1262,1.4111050848600439e-31,1.5193943343352294e-28
TCTEX1D2,11.641906,3.8206515,2.5231516858706706e-31,2.6197523504154334e-28
TSPAN1,11.603049,3.3059518,3.976538772996344e-31,3.9864115589155075e-28
ROPN1L,11.588162,5.9249682,4.731752416807035e-31,4.585383542047137e-28
LRRC46,11.525462,5.204411,9.818376896900873e-31,9.207737198280716e-28
DYNLL1,11.500357,1.7966257,1.3137088183866123e-30,1.1935044615042373e-27
SPA17,11.480172,4.546041,1.659502646553644e-30,1.461971543654774e-27
C11orf88,11.466799,6.1580386,1.93691667544459e-30,1.6468133840877205e-27
C9orf135,11.464781,4.610584,1.982611049912982e-30,1.6468133840877205e-27
DNAAF1,11.412047,4.6301756,3.6405931469951526e-30,2.939981221373419e-27
TEKT1,11.390474,5.988181,4.664443825899348e-30,3.6649921866634006e-27
CRIP1,11.3450575,2.1753018,7.847453712165755e-30,6.00371511368639e-27
NUCB2,11.261163,3.4428656,2.0404758516244043e-29,1.521043947651915e-26
TXN,11.234922,2.2237847,2.747349855921323e-29,1.9967738752836174e-26
