group,n_H1,max_H1,total_H1,entropy_H1
Erl D0,1393,1.4669981002807617,385.82504415512085,6.869975977184955
Erl D9,204,1.774221420288086,68.01995515823364,5.029296650490416
Erl D11,124,1.0793461799621582,34.92425537109375,4.453141809988089
Osi D0,1473,1.4133377075195312,402.4430179595947,6.976433164416497
Osi D7,1421,2.6726579666137695,568.4668588638306,6.911859428550777
Osi D14,1153,3.776317596435547,588.1567397117615,6.7061678734379475
YU-003 untreated,1534,2.790079116821289,641.4262118339539,6.990163068695201
YU-003 residual,1545,3.849271774291992,458.5569498538971,6.96284229914069
YU-006 untreated,1494,2.813671112060547,643.5459077358246,6.953964471111277
YU-006 residual,1122,6.078269958496094,414.88176918029785,6.531106210713334
