gene,connectivity
HIST1H4C,0.5740892224211339
IGFBP3,0.5327799255794444
SMC4,0.49650396780445816
TUBA1B,0.4932218293281415
HMGB2,0.44711769842761134
TACSTD2,0.43902781068832997
TOP2A,0.42598780943049125
DEK,0.39063851688282575
MKI67,0.379396091181757
CENPF,0.37780106588337065
GPRC5A,0.3647423958308352
CD24,0.3586818814318169
NEAT1,0.3585325795561987
PSAP,0.3329827665148099
TUBA1C,0.3312748310762064
CALM2,0.3198297995438307
TPM1,0.3184663533029874
UBC,0.3109594152380543
MTRNR2L1,0.30974032391017187
NCL,0.3079827814828288
PDLIM1,0.30776814495439353
NUCKS1,0.30765456236762145
SOX4,0.30449955887651864
MT-ND5,0.30353699680253166
ALDH1A3,0.30348135823704286
SERPINE1,0.30327891065586515
KRT8,0.300222239390593
HMGA1,0.2990360104008486
B2M,0.29881206537735533
TPX2,0.29468641094331594
MT-CYB,0.2940147555984663
CALD1,0.2928741558889886
RPL13A,0.2920567787560697
F3,0.2901073005797505
HNRNPU,0.28864454258711947
CBX3,0.28716901773339953
MT-ATP8,0.2860560979995494
DTYMK,0.2845322187663259
MT-ND3,0.28437419613553583
MALAT1,0.2805331351398854
H2AFZ,0.28048423112937987
PTMA,0.28037396440045675
GCLM,0.2802254314085483
CCDC80,0.2800840787300846
KRT18,0.27969406657604684
CKS2,0.27966065580224114
SPINT2,0.27782310704484753
MT-ND2,0.2754637051568722
PTGR1,0.27405332842301056
RPL6,0.2731469566322848
EIF5,0.2728981871656785
ANLN,0.2724616646685623
ALDH3A1,0.2722686135712163
TPM3,0.2718431023737754
MT-RNR1,0.2698312444722547
CANX,0.26882470164632893
TAGLN2,0.268442485504293
TXNRD1,0.26778515527071717
SERF2,0.2677736542485832
H3F3B,0.2677322697428762
RPL13P12,0.26759098870344183
TMSB4X,0.2673191210593114
ACTN4,0.2670635232951348
TUBB4B,0.26686705333857536
PKM,0.26674838620412117
MYL6,0.26600039256502384
CHCHD2,0.2651271952568148
