gene,connectivity_raw,connectivity_variance_normalized
TPM1,0.47623792896458766,0.3531224011240323
CALD1,0.4184569004925638,0.32645163983410513
SERPINE1,0.3398510088205824,0.3220931647648056
KRT8,0.4522997661158797,0.32120826716815265
KRT19,0.41699614936522605,0.29555726707751534
FSTL1,0.2553833491598806,0.28223744913540594
IGFBP3,0.4225609070747422,0.276139476539771
LGALS1,0.34275090730895325,0.27557186228251634
ITGB1,0.3138257706351705,0.2741381215814179
GPRC5A,0.339318702996466,0.2675321078742142
CCDC80,0.3030592241634081,0.2644297438746484
NEAT1,0.3605028505150272,0.2635541738395248
PSAP,0.33973177584720093,0.26097078438035326
RPL13P12,0.2795276431345275,0.25331029923978426
F3,0.31641760656900103,0.2518373337086166
CD24,0.2772308924747599,0.2506649851555892
KRT17,0.25358780582367685,0.2492679845387234
TACSTD2,0.34891047788103935,0.24568494512141764
PDLIM1,0.2682181071011409,0.24394414627090105
ALDH1A3,0.29968177076912833,0.238372417026276
MT-RNR1,0.295612666576108,0.23145117115844763
DSP,0.23909794009923124,0.2294826922902773
SOX4,0.2668808727220643,0.22892557029352148
WNT5A,0.21723842703915225,0.2266529744059192
TJP1,0.18652113065640186,0.2260529212621981
MTRNR2L1,0.3071893326771008,0.22577274688484716
CAV2,0.246511354302971,0.22181761553504692
PGRMC2,0.2171109122212123,0.22087670402711523
MYL12A,0.28946850601302615,0.22027620374092757
LIMA1,0.24113810394670912,0.22024283263348626
ACTB,0.30836987851996717,0.22020774611723334
TXNRD1,0.3066305431843128,0.21903321294862343
PRSS23,0.25070677421110815,0.21869397361938198
TGFBI,0.2111833525465752,0.2181053266162211
SLC3A2,0.258435879816902,0.2177720301291373
MARCKS,0.2277668569057187,0.21725724517468448
CYR61,0.192640721392745,0.21722643339739292
TMSB4X,0.3143959223697333,0.21721047523635978
SLC7A5,0.21682147538880764,0.2163647959663461
TPM4,0.2639880475343125,0.21633622668212485
RP11-750B16.1,0.23793744811956613,0.21581026417393817
PLK2,0.2192633272959698,0.21526420983548555
DYNC1H1,0.2529083901242607,0.2147959141018924
ACTN4,0.2775288252178947,0.21470246911124863
GSTK1,0.20991211722368777,0.2139830488330456
AHNAK,0.24833722338637554,0.21388061191661273
PALLD,0.24268009306459018,0.21239977534087964
TMSB4XP8,0.2743817818237761,0.21220212689785123
KRT7,0.2848764759273775,0.21189293247868543
PTGR1,0.27581291142813125,0.21174756073004192
SQSTM1,0.2715789291179561,0.21128528813858732
TGFB2,0.17981457254418218,0.21047127487807124
LGALS3,0.23583204253120216,0.21035209602538946
SPTBN1,0.23894039078037566,0.20889513864150913
FILIP1L,0.1698702057047331,0.208710926110691
MTATP6P1,0.2409725788091819,0.20839223683445146
SPINT2,0.28228122632086966,0.20777165582802407
HSPB1,0.22208552432254736,0.2069922482720206
DIO2,0.18877663679628612,0.20551239477785813
UBC,0.2572666015210077,0.20418763252888142
THBS1,0.20288537583490523,0.20284799274176177
PTTG1IP,0.22184485178833344,0.20250790254203418
PHACTR2,0.15634168745262295,0.20240657121692687
RPL13A,0.29309214190671756,0.2023469196096883
NGFRAP1,0.1993532300724779,0.20221709033042537
RPS27,0.20462961289284587,0.20208575536277243
RHOBTB3,0.2187903930669249,0.20166057750663735
B2M,0.27716755084972006,0.20132901583703894
PAWR,0.21490285096324113,0.20129474889636445
MT-ND1,0.2971325562082935,0.2009434214914072
YBX3,0.23862104576757212,0.19844793227965293
CALR,0.24379340334865693,0.19747203621914564
DST,0.22086887451599116,0.19743544280650582
TAGLN2,0.22983484238609014,0.19569456695061732
WWC1,0.1547799854255063,0.19556751924254795
TAX1BP1,0.2610697716697392,0.19552740940911523
KLK5,0.22562076798675013,0.19516608501923158
FN1,0.11141059975146761,0.19515930565440032
OLR1,0.1196585572359515,0.19473386135896925
RPL37P2,0.1767637734912351,0.19467403739184283
EEF2,0.23647305310623407,0.19409235174825287
SRRM2,0.21952466900700376,0.19404064009965155
ITM2B,0.19335379483422643,0.19399539021145804
MYL6,0.2688991243056421,0.1939463673107564
GADD45A,0.20145615558491362,0.193800838409659
CSDE1,0.23919740037639314,0.19330889822308667
MT-CO1,0.2854463282610428,0.19192342414570698
MYH9,0.2329989903683082,0.19188134388948766
ACTN1,0.2186371285156844,0.19165414376253986
GSN,0.14767362934079484,0.1910060962559535
OPN3,0.13453563409626362,0.19079054474709067
EEF1A1,0.2170207997838467,0.19055668832411335
ZFP36L1,0.2313927361788513,0.19042459138391132
SRI,0.20471299812957433,0.1895873628051497
CDH1,0.12800759897598354,0.1892770283648467
ZFAS1,0.22616790991750077,0.18926514266786892
FTH1P11,0.16484146443132963,0.1892604016674205
EEF1D,0.22643449398062815,0.18921916940984557
RPL10A,0.24435053464914164,0.18862839684239827
GLTSCR2,0.17647874124353227,0.18860048521879902
RCN1,0.18214124858500924,0.18836846755200873
RPL3,0.22932032506373526,0.18803334365808422
ALCAM,0.2147403626641313,0.18784028670056024
PTRF,0.22025309619572922,0.18777567389808003
MAP2,0.1402188150312202,0.1875940014175782
CITED2,0.13555738337991352,0.18734534497086003
RPL6,0.23641493322896276,0.1868280965776609
GCLM,0.23395149769384305,0.18603685034285752
UGCG,0.15540907762433134,0.18600742002780707
TFPI2,0.18075366622124459,0.18527541500671352
BBX,0.16616298672619684,0.18458569560384847
LGALS3BP,0.16729087980728746,0.18452536498584526
ZFAND5,0.18125968883833377,0.18413656528590894
HEG1,0.1033039607821801,0.1832149351720985
AC016739.2,0.18391324558442826,0.18291539571708273
PDCD6,0.19934701862827925,0.1823970016818886
NEDD9,0.1582200498624694,0.18200118235489043
SMARCA1,0.17642677478608754,0.18191348910103802
PPIA,0.21587371558741109,0.1816926755563164
MTND4P12,0.13833891423602723,0.18138685763733148
NCF2,0.15361394846139514,0.18130987127521092
OAZ1,0.22026098430926586,0.18066417335587687
MALAT1,0.24403059361015025,0.1799164401794031
TMEM14C,0.1769120004572567,0.17991103058621377
DDX17,0.20511011290031578,0.17960823131794834
CHMP4B,0.19221171357856973,0.17924872383141016
FTLP3,0.15469821926933175,0.17851833601746225
ANXA2,0.24800342908933162,0.1784818981559523
CST6,0.1543195140373942,0.17833744477731367
LPP,0.16357651281972713,0.17816213603979222
EIF4A2,0.18456548063387115,0.1778993620799967
BTF3,0.21647224873608265,0.17789801883553663
